fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
1,48201542301,2593.894501,1008147.464,0.169494569,1,1,13182,1617,0.122667274,5950556.872
2,48201552601,0,408185.5843,0.140498281,1,1,5461,318,0.058231093,2905270.882
3,48157673800,1018719.248,8768289.122,0.624603748,1,1,9057,1619,0.178756763,15056881.42
4,48157674000,0,1017375.426,0.208702743,1,1,7602,1542,0.202841358,4874758.456
5,48157674100,0,468398.4146,0.112691633,1,1,7165,722,0.10076762,4156461.45
6,48157674200,20019.89929,956713.964,0.160792157,1,1,5020,1094,0.217928287,5970023.835
7,48167720502,93517.68563,363431.9689,0.050587118,1,1,11266,43,0.003816794,7277796.556
8,48167720501,216438.9903,858708.7802,0.202094719,1,1,4186,467,0.111562351,4465480.115
9,48167721202,395164.4968,2721477.433,0.207964972,1,1,4995,526,0.105305305,13481394.6
10,48167722002,0,,,1,1,3402,0,0,1735645.955
11,48167720301,780.4408722,58271.96939,0.017889794,1,1,2078,58,0.027911453,3258054.79
12,48167720503,92256.78107,2912149.695,0.227663979,1,1,15614,1313,0.0840912,12883695.26
13,48201323701,0,99077.59638,0.042911906,1,1,3784,0,0,2308860.323
14,48201240702,12948.38846,1525927.091,0.149039194,1,1,13686,460,0.033610989,10251376.98
15,48201240501,0,280400.8761,0.085673407,1,1,5365,53,0.009878844,3272904.443
16,48201240701,2330.030663,659088.5202,0.08927577,1,1,14011,533,0.038041539,7384944.009
17,48201240901,83374.41821,867830.3015,0.151692405,1,1,10591,287,0.02709848,5804361.433
18,48157675500,12216064.91,116984465.9,0.407527149,1,1,16021,2016,0.125834842,299275389.8
19,48157674400,1458510.472,11132500.28,0.375528604,1,1,16663,1777,0.106643462,31103390.07
20,48157671400,0,,,1,1,7832,0,0,3350399.371
21,48157675400,987276.9852,29727427.66,0.209590271,1,1,7837,1217,0.155289014,142823193.5
22,48201241103,18431.95734,62861.23698,0.022543529,1,1,4027,0,0,2806870.168
23,48201450802,0,,,1,1,8261,0,0,1712522.676
24,48201450801,0,154835.9236,0.16870974,1,1,1582,932,0.589127686,917765.1396
25,48201451002,0,,,1,1,5347,0,0,597862.7429
