GEOID,within_dfo,within_aer,sel_sa_tracts
48201542301,1,1,1
48201552601,1,1,1
48157673800,1,1,1
48157674000,1,1,1
48157674100,1,1,1
48157674200,1,1,1
48167720502,1,1,1
48167720501,1,1,1
48167721202,1,1,1
48167722002,1,1,1
48167720301,1,1,1
48167720503,1,1,1
48201323701,1,1,1
48201240702,1,1,1
48201240501,1,1,1
48201240701,1,1,1
48201240901,1,1,1
48157675500,1,1,1
48157674400,1,1,1
48157671400,1,1,1
48157675400,1,1,1
48201241103,1,1,1
48201450802,1,1,1
48201450801,1,1,1
48201451002,1,1,1
48201454302,1,1,1
48201451902,1,1,1
48201453602,1,1,1
48201453403,1,1,1
48201453601,1,1,1
48201453501,1,1,1
48201453502,1,1,1
48245000309,1,1,1
48245011700,1,1,1
48245011800,1,1,1
48201553401,1,1,1
48201553402,1,1,1
48201553801,1,1,1
48201554903,1,1,1
48157674300,1,1,1
48157674700,1,1,1
48157674800,1,1,1
48157674900,1,1,1
48157675000,1,1,1
48157675200,1,1,1
48187210712,1,NA,NA
48187210710,1,NA,NA
48187210707,1,NA,NA
48187210709,1,NA,NA
48187210711,1,NA,NA
48167721201,1,1,1
48167722001,1,1,1
48167726200,1,1,1
48187210708,1,NA,NA
48201550301,1,1,1
48201550302,1,1,1
48157675800,1,1,1
48157670800,1,1,1
48157675700,1,1,1
48157673200,1,1,1
48157673400,1,1,1
48157673300,1,1,1
48201550401,1,1,1
48201553403,1,1,1
48201454502,1,1,1
48201541601,1,1,1
48201541602,1,1,1
48373210102,1,1,1
48373210101,1,1,1
48373210500,1,1,1
48373210400,1,NA,NA
48157670400,1,1,1
48157670300,1,1,1
48157670200,1,1,1
48157670700,1,1,1
48201455102,1,1,1
48201511302,1,1,1
48201520601,1,1,1
48201554001,1,1,1
48201554901,1,1,1
48201212300,1,1,1
48201212400,1,1,1
48157675300,1,1,1
48157675600,1,1,1
48157673700,1,1,1
48157675100,1,1,1
48201250701,1,1,1
48201250702,1,1,1
48201251503,1,1,1
48201251402,1,1,1
48201251902,1,1,1
48201314002,1,1,1
48201511002,1,1,1
48201511001,1,1,1
48201522302,1,1,1
48201522202,1,1,1
48201522301,1,1,1
48201522201,1,1,1
48201532002,1,1,1
48201532001,1,1,1
48201532502,1,1,1
48201543200,1,1,1
48201522500,1,1,1
48355005414,1,1,1
48355003203,1,1,1
48355005404,1,1,1
48355003700,1,1,1
48355001903,1,1,1
48201314001,1,1,1
48201413202,1,1,1
48201320602,1,1,1
48201333202,1,1,1
